model_name,condition,n_examples,execution_accuracy,executable_query_rate,exact_match_accuracy,median_generation_latency_sec,mean_generation_latency_sec,p95_generation_latency_sec,mean_model_load_gpu_reserved_delta_mb
Qwen3-4B-Instruct-2507,A,1032,0.45058139534883723,0.9660852713178295,0.07461240310077519,4.053563947501971,4.496329475753125,8.244583939798753,2228.0
Gemma-4-E4B-it,A,1032,0.5251937984496124,0.937984496124031,0.10755813953488372,6.705101657502382,7.5101405884041,14.304896081750302,8620.0
Phi-4-mini-instruct,A,1032,0.28488372093023256,0.9215116279069767,0.016472868217054265,3.3069060040033946,3.772338254736447,6.578065418899494,2558.0
Gemma-4-E2B-it,A,1033,0.41142303969022265,0.8915779283639884,0.06098741529525654,7.119117524998728,8.610090299335942,31.57562286840075,6146.0
Qwen3-1.7B,A,1029,0.31584062196307094,0.8483965014577259,0.08163265306122448,2.4713029869999446,3.2461193272332567,7.190730123198589,2754.0
Granite-3.3-2B-Instruct,A,1033,0.27299128751210067,0.7899322362052275,0.02516940948693127,4.860963865998201,5.252011191039897,10.188682963402243,1058.0
Llama-3.2-3B-Instruct,A,1032,0.3003875968992248,0.7771317829457365,0.09011627906976744,3.0750719035022485,3.018901393551488,5.29050857140282,1814.0
Qwen3-0.6B,A,1032,0.13870029097963144,0.6996124031007752,0.060077519379844964,1.6142180394990646,3.6101331333129565,20.28231347400051,1044.0
Llama-3.2-1B-Instruct,A,1033,0.16360116166505323,0.5837366892545982,0.05324298160696999,1.788902298998437,1.9087193214500437,4.034759602601116,664.0
SmolLM3-3B,A,1034,0.10638297872340426,0.33849129593810445,0.0551257253384913,21.702241557499292,17.140869000550225,23.233872822899137,1590.0
Qwen3-4B-Instruct-2507,B,1032,0.45058139534883723,0.9622093023255814,0.07848837209302326,4.00105212050039,4.353633422329328,7.9633746290965055,2228.0
Gemma-4-E4B-it,B,1032,0.5145348837209303,0.9331395348837209,0.10368217054263566,6.72076012800062,7.450175494203476,14.531565228248825,8620.0
Phi-4-mini-instruct,B,1032,0.2858527131782946,0.9089147286821705,0.016472868217054265,3.264818212002865,3.6090937048788416,6.278547121799783,2558.0
Gemma-4-E2B-it,B,1032,0.40406976744186046,0.8895348837209303,0.06395348837209303,6.9073092879993965,8.413308457280143,29.82042121234642,6146.0
Qwen3-1.7B,B,1029,0.3138969873663751,0.8464528668610302,0.09037900874635568,2.4058817270015425,3.1640336481262787,7.035407756800109,2754.0
Llama-3.2-3B-Instruct,B,1032,0.3071705426356589,0.7955426356589147,0.0939922480620155,2.817090776996338,2.858923677998064,5.106474058597813,1814.0
Granite-3.3-2B-Instruct,B,1033,0.2671829622458858,0.7792836398838335,0.028073572120038724,4.788055641000028,5.201877925208127,10.187502396598573,1058.0
Qwen3-0.6B,B,1032,0.13953488372093023,0.7228682170542635,0.0562015503875969,1.6012284410003303,3.50414734547964,20.251115995399413,1044.0
Llama-3.2-1B-Instruct,B,1033,0.1606969990319458,0.5837366892545982,0.05808325266214908,1.6962002580039552,1.8346960557978451,4.07522498939943,664.0
SmolLM3-3B,B,1034,0.11798839458413926,0.3607350096711799,0.05609284332688588,21.673369455500506,16.6873607621731,23.17221100120032,1590.0
Qwen3-4B-Instruct-2507,C,1032,0.47189922480620156,0.9728682170542635,0.09593023255813954,4.863340990501456,5.234812534095923,9.752244570496986,2228.0
Gemma-4-E4B-it,C,1032,0.5077519379844961,0.9253875968992248,0.10368217054263566,7.544972071000302,8.290014197268354,15.918348255349699,8620.0
Phi-4-mini-instruct,C,1034,0.29690522243713735,0.902321083172147,0.02127659574468085,4.05786617999911,4.283461825744651,7.480292329098665,2558.0
Gemma-4-E2B-it,C,1031,0.4481086323957323,0.9010669253152279,0.06595538312318137,7.2357733710014145,8.817940141118445,32.36961258249539,6146.0
Qwen3-1.7B,C,1029,0.3129251700680272,0.8532555879494655,0.09620991253644315,2.6087363839978934,3.3420557646462137,7.222582298002067,2754.0
Llama-3.2-3B-Instruct,C,1032,0.3391472868217054,0.814922480620155,0.1182170542635659,2.99816881350489,3.299913734230704,6.277740990498568,1814.0
Granite-3.3-2B-Instruct,C,1033,0.2884801548886738,0.8102613746369797,0.03969022265246854,5.189236166999763,5.662835961705738,11.561956413400912,1058.0
Qwen3-0.6B,C,1033,0.1345595353339787,0.7221684414327202,0.05033881897386254,1.552006590000019,3.3231212571820246,20.206630568400303,1044.0
Llama-3.2-1B-Instruct,C,1032,0.15213178294573643,0.5213178294573644,0.05426356589147287,1.9085267549999116,2.059064513240136,4.244029807147671,664.0
SmolLM3-3B,C,1032,0.10077519379844961,0.26647286821705424,0.04844961240310078,22.326984597497358,19.67016773400966,24.983059366901216,1590.0
Qwen3-4B-Instruct-2507,D,1032,0.4738372093023256,0.9815891472868217,0.09593023255813954,4.853953877503955,5.236577645080467,9.73792774659705,2228.0
Gemma-4-E2B-it,D,1031,0.4742967992240543,0.9612027158098934,0.06595538312318137,7.231318661999467,8.824307938004004,32.632007880002675,6146.0
Gemma-4-E4B-it,D,1032,0.5281007751937985,0.9573643410852714,0.10368217054263566,7.525422876002267,8.297078061841146,15.96278354299965,8620.0
Phi-4-mini-instruct,D,1031,0.30164888457807953,0.9253152279340446,0.02133850630455868,4.075704278999183,4.269867008076464,7.395809474499401,2558.0
Qwen3-1.7B,D,1029,0.31681243926141883,0.8794946550048591,0.09620991253644315,2.61055381800179,3.3398631967550236,7.169014949800466,2754.0
Llama-3.2-3B-Instruct,D,1032,0.35174418604651164,0.874031007751938,0.1182170542635659,3.0017472639992775,3.2985636778264804,6.243184185951395,1814.0
Granite-3.3-2B-Instruct,D,1033,0.2952565343659245,0.8499515972894482,0.04065827686350436,5.161866751997877,5.668040943222685,11.593276900800992,1058.0
Qwen3-0.6B,D,1033,0.1345595353339787,0.7337850919651501,0.05033881897386254,1.5229834289998507,3.3201657615566424,20.23591835900006,1044.0
Llama-3.2-1B-Instruct,D,1032,0.1618217054263566,0.5901162790697675,0.0562015503875969,1.9122974594974949,2.057455305565904,4.224543530502339,664.0
SmolLM3-3B,D,1032,0.12403100775193798,0.3507751937984496,0.0562015503875969,22.31162961350128,19.674227240319897,24.865607315049782,1590.0
